Sector;Region;Company;Industry;Country;Ticker;Currency;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;;;;;;;;;;;;;;;;
Transport;USA;Norfolk Southern;Railroads;USA;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;Japan;Kintetsu;Railroads;Japan;No Goodwill;-100,000;1;0;10;45;76;104;122;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;Can Aus;Canadian National Railway;Railroads;Canada;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;China;MTR;Railroads;China;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;China;Daqin Railway;Railroads;China;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;Can Aus;Canadian Pacific Railway;Railroads;Canada;Short Goodwill;-100,000;141;141;146;152;143;136;168;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;Japan;Hankyu Hanshin Holdings;Railroads;Japan;Complete Goodwill;0,856;258;321;454;482;470;469;448;416;517;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;Japan;Tobu Railway;Railroads;Japan;Short Goodwill;-100,000;85;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;Can Aus;Aurizon Holdings;Railroads;Australia;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;USA;Kansas City Southern;Railroads;USA;Complete Goodwill;0,444;13;13;13;13;13;0;11;11;11;11;11;11;11;0;0;0;0;;;;;;;;;;;;;;;;
Transport;Japan;Odakyu Electric Railway;Railroads;Japan;No Goodwill;-100,000;10;1;1;11;27;51;64;66;15;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;Japan;Nippon Express;Trucking;Japan;Short Goodwill;-100,000;124;162;89;10;15;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;Japan;Yamato Holdings;Trucking;Japan;No Goodwill;-100,000;0;0;0;7;9;0;10;11;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;USA;JB Hunt Transport;Trucking;USA;No Goodwill;-100,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;EU;DSV;Trucking;Denmark;Complete Goodwill;0,953;1304;1486;1452;1361;1421;1470;1317;744;709;478;328;287;286;320;9;8;6;;;;;;;;;;;;;;;;
Transport;USA;CWT;Trucking;USA;Complete Goodwill;0,928;87;73;70;69;28;21;21;13;11;2;0;0;3;0;0;0;0;;;;;;;;;;;;;;;;
Transport;EU;A P Moller - Maersk;Other Transportation;Denmark;Complete Goodwill;0,803;542;478;621;675;601;600;442;556;89;43;56;61;47;0;0;0;0;;;;;;;;;;;;;;;;
Transport;EU;Ferrovial;Other Transportation;Spain;Complete Goodwill;0,963;2411;2614;1967;1920;6693;9960;7549;239;210;221;224;159;185;61;0;0;0;;;;;;;;;;;;;;;;
Transport;EU;Abertis;Other Transportation;Spain;Complete Goodwill;0,991;5549;6287;6805;5523;5849;6233;5851;5778;5194;1315;1043;1144;963;187;0;0;0;;;;;;;;;;;;;;;;
Transport;EU;Atlantia;Other Transportation;Italy;Complete Goodwill;0,712;5330;6053;5798;5679;5848;6298;6152;6424;5785;5324;5945;5514;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;EU;Kuehne + Nagel;Other Transportation;Switzerland;Complete Goodwill;0,826;703;775;740;785;566;627;499;533;482;107;85;99;116;277;0;0;0;;;;;;;;;;;;;;;;
Transport;Japan;Nippon Yusen;Other Transportation;Japan;Complete Goodwill;0,833;201;230;290;295;217;224;194;245;272;162;76;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;China;Shanghai International Port;Other Transportation;China;No Goodwill;-100,000;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;East;DP World;Other Transportation;UAE;Short Goodwill;-100,000;1448;1532;1589;1608;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;S Korea;Hyundai Glovis;Other Transportation;S Korea;No Goodwill;-100,000;3;3;2;3;3;1;1;2;3;4;6;3;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;USA;CH Robinson Worldwide;Other Transportation;USA;Complete Goodwill;0,868;825;829;822;360;359;362;325;279;262;223;171;155;153;141;146;145;0;;;;;;;;;;;;;;;;
Transport;Japan;Mitsui OSK Lines;Other Transportation;Japan;Complete Goodwill;-0,338;25;15;14;0;0;0;46;61;85;154;0;21;20;21;0;0;0;;;;;;;;;;;;;;;;
Transport;Asia;MISC;Other Transportation;Malaysia;Complete Goodwill;0,727;243;246;246;237;215;212;244;210;211;196;194;164;0;5;8;0;0;;;;;;;;;;;;;;;;
Transport;China;China Cosco Holdings;Other Transportation;China;No Goodwill;-100,000;0;0;4;4;4;4;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;EU;Aeroports de Paris;Other Transportation;France;Short Goodwill;-100,000;22;35;33;12;49;28;3;3;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;Latin;CCR;Other Transportation;Brazil;Short Goodwill;-100,000;463;551;659;967;964;278;225;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
Transport;China;China Merchants Holdings;Other Transportation;China;Complete Goodwill;0,894;511;548;522;516;487;368;362;493;35;34;33;35;18;0;0;0;0;;;;;;;;;;;;;;;;
